Passenger Class,Sex,Age,No of Siblings or Spouses on Board,No of Parents or Children on Board,Passenger Fare,Port of Embarkation
Third,Male,22,0,0,8.05,Southampton
Third,Male,19,0,0,8.05,Southampton
Third,Male,26,0,0,7.775,Southampton
Third,Male,22,0,0,9.35,Southampton
Third,Male,20,0,0,7.2292,Cherbourg
Third,Male,20,0,0,4.0125,Cherbourg
Third,Male,32,0,0,56.4958,Southampton
Third,Male,21,0,0,7.775,Southampton
Third,Male,18,0,0,7.75,Southampton
Third,Male,26,0,0,7.8958,Southampton
Third,Male,6,1,1,15.2458,Cherbourg
Third,Female,9,1,1,15.2458,Cherbourg
Third,Male,20,0,0,7.225,Cherbourg
Third,Female,30,0,2,15.2458,Cherbourg
Third,Female,18,0,2,7.75,Queenstown
Third,Male,40,1,1,15.5,Queenstown
Third,Female,32,1,1,15.5,Queenstown
Third,Male,21,0,0,16.1,Southampton
Third,Female,22,0,0,7.725,Queenstown
Third,Female,20,0,0,7.8542,Southampton
Third,Male,29,1,0,7.0458,Southampton
Third,Male,22,1,0,7.25,Southampton
Third,Male,22,0,0,7.7958,Southampton
Third,Male,35,0,0,8.05,Southampton
Third,Female,18.5,0,0,7.2833,Queenstown
Third,Male,21,0,0,7.8208,Queenstown
Third,Male,19,0,0,6.75,Queenstown
Third,Female,18,0,0,7.8792,Queenstown
Third,Female,21,0,0,8.6625,Southampton
Third,Female,30,0,0,8.6625,Southampton
Third,Male,18,0,0,8.6625,Southampton
Third,Male,38,0,0,8.6625,Southampton
Third,Male,17,0,0,8.6625,Southampton
Third,Male,17,0,0,8.6625,Southampton
Third,Female,21,0,0,7.75,Queenstown
Third,Male,21,0,0,7.75,Queenstown
Third,Male,21,0,0,8.05,Southampton
Third,Male,27,1,0,14.4583,Cherbourg
Third,Female,23,1,0,14.4583,Cherbourg
Third,Male,28,0,0,7.7958,Southampton
Third,Male,24,0,0,7.8542,Southampton
Third,Female,16,0,0,7.75,Queenstown
Third,Female,37,0,0,7.75,Queenstown
Third,Male,28,0,0,7.25,Southampton
Third,Male,24,0,0,8.05,Southampton
Third,Male,21,0,0,7.7333,Queenstown
Third,Male,32,0,0,56.4958,Southampton
Third,Male,29,0,0,8.05,Southampton
Third,Male,26,1,0,14.4542,Cherbourg
Third,Male,18,1,0,14.4542,Cherbourg
Third,Male,20,0,0,7.05,Southampton
Third,Male,18,0,0,8.05,Southampton
Third,Male,24,0,0,7.25,Queenstown
Third,Male,36,0,0,7.4958,Southampton
Third,Male,24,0,0,7.4958,Southampton
Third,Male,31,0,0,7.7333,Queenstown
Third,Male,31,0,0,7.75,Queenstown
Third,Female,22,0,0,7.75,Queenstown
Third,Female,30,0,0,7.6292,Queenstown
Third,Male,70.5,0,0,7.75,Queenstown
Third,Male,43,0,0,8.05,Southampton
Third,Male,35,0,0,7.8958,Southampton
Third,Male,27,0,0,7.8958,Southampton
Third,Male,19,0,0,7.8958,Southampton
Third,Male,30,0,0,8.05,Southampton
Third,Male,9,1,1,15.9,Southampton
Third,Male,3,1,1,15.9,Southampton
Third,Female,36,0,2,15.9,Southampton
Third,Male,59,0,0,7.25,Southampton
Third,Male,19,0,0,8.1583,Southampton
Third,Female,17,0,1,16.1,Southampton
Third,Male,44,0,1,16.1,Southampton
Third,Male,17,0,0,8.6625,Southampton
Third,Male,22.5,0,0,7.225,Cherbourg
Third,Male,45,0,0,8.05,Southampton
Third,Female,22,0,0,10.5167,Southampton
Third,Male,19,0,0,10.1708,Southampton
Third,Female,30,0,0,6.95,Queenstown
Third,Male,29,0,0,7.75,Queenstown
Third,Male,0.3333,0,2,14.4,Southampton
Third,Male,34,1,1,14.4,Southampton
Third,Female,28,1,1,14.4,Southampton
Third,Male,27,0,0,7.8958,Southampton
Third,Male,25,0,0,7.8958,Southampton
Third,Male,24,2,0,24.15,Southampton
Third,Male,22,0,0,8.05,Southampton
Third,Male,21,2,0,24.15,Southampton
Third,Male,17,2,0,8.05,Southampton
Third,Male,32,1,0,16.1,Southampton
Third,Female,26,1,0,16.1,Southampton
Third,Male,36.5,1,0,17.4,Southampton
Third,Female,36,1,0,17.4,Southampton
Third,Male,30,0,0,9.5,Southampton
Third,Male,16,0,0,9.5,Southampton
Third,Male,1,1,2,20.575,Southampton
Third,Female,0.1667,1,2,20.575,Southampton
Third,Male,26,1,2,20.575,Southampton
Third,Female,33,1,2,20.575,Southampton
Third,Male,25,0,0,7.8958,Southampton
Third,Male,25,0,0,7.8958,Southampton
Third,Male,26,0,0,7.8958,Southampton
Third,Male,22,0,0,7.25,Southampton
Third,Male,36,0,0,7.25,Southampton
Third,Female,19,0,0,7.8792,Queenstown
Third,Male,17,0,0,7.8958,Southampton
Third,Male,42,0,0,8.6625,Southampton
Third,Male,43,0,0,7.8958,Southampton
Third,Male,17,0,0,7.2292,Cherbourg
Third,Male,32,0,0,7.75,Queenstown
Third,Male,19,0,0,8.05,Southampton
Third,Female,30,0,0,12.475,Southampton
Third,Female,24,0,0,7.75,Queenstown
Third,Female,23,0,0,8.05,Southampton
Third,Male,33,0,0,7.8958,Cherbourg
Third,Male,65,0,0,7.75,Queenstown
Third,Male,24,0,0,7.55,Southampton
Third,Male,23,1,0,13.9,Southampton
Third,Female,22,1,0,13.9,Southampton
Third,Male,18,0,0,7.775,Southampton
Third,Male,16,0,0,7.775,Southampton
Third,Male,45,0,0,6.975,Southampton
Third,Male,26,0,0,7.225,Cherbourg
Third,Male,39,0,2,7.2292,Cherbourg
Third,Male,17,1,1,7.2292,Cherbourg
Third,Male,15,1,1,7.2292,Cherbourg
Third,Male,47,0,0,7.25,Southampton
Third,Female,5,0,0,12.475,Southampton
Third,Male,35,0,0,7.225,Cherbourg
Third,Male,40.5,0,0,15.1,Southampton
Third,Male,40.5,0,0,7.75,Queenstown
Third,Male,23,0,0,7.05,Southampton
Third,Male,18,0,0,7.7958,Southampton
Third,Female,23,0,0,7.75,Queenstown
Third,Male,22,0,0,7.75,Queenstown
Third,Male,34,0,0,6.95,Queenstown
Third,Male,26,0,0,7.8792,Queenstown
Third,Male,37,0,0,7.75,Queenstown
Third,Male,32,0,0,56.4958,Southampton
Third,Female,21,2,2,34.375,Southampton
Third,Female,9,2,2,34.375,Southampton
Third,Male,18,0,0,8.05,Southampton
Third,Male,18,2,2,34.375,Southampton
Third,Male,16,1,3,34.375,Southampton
Third,Female,48,1,3,34.375,Southampton
Third,Male,38,0,0,7.75,Queenstown
Third,Male,22,0,0,7.25,Southampton
Third,Male,25,0,0,7.7417,Queenstown
Third,Male,24,0,0,14.5,Southampton
Third,Male,30,0,0,7.8958,Cherbourg
Third,Male,22,0,0,8.05,Southampton
Third,Female,16,0,0,7.7333,Queenstown
Third,Female,25,0,0,7.75,Queenstown
Third,Male,9,0,2,20.525,Southampton
Third,Male,33,1,1,20.525,Southampton
Third,Male,41,0,0,7.85,Southampton
Third,Female,31,1,1,20.525,Southampton
Third,Male,38,0,0,7.05,Southampton
Third,Male,9,5,2,46.9,Southampton
Third,Male,1,5,2,46.9,Southampton
Third,Male,11,5,2,46.9,Southampton
Third,Female,10,5,2,46.9,Southampton
Third,Female,16,5,2,46.9,Southampton
Third,Male,14,5,2,46.9,Southampton
Third,Male,40,1,6,46.9,Southampton
Third,Female,43,1,6,46.9,Southampton
Third,Male,51,0,0,8.05,Southampton
Third,Male,32,0,0,8.3625,Southampton
Third,Male,25,0,0,8.05,Southampton
Third,Male,20,0,0,9.8458,Southampton
Third,Male,37,2,0,7.925,Southampton
Third,Male,28,2,0,7.925,Southampton
Third,Male,19,0,0,7.775,Southampton
Third,Female,24,0,0,8.85,Southampton
Third,Female,17,0,0,7.7333,Queenstown
Third,Male,28,1,0,19.9667,Southampton
Third,Male,27,1,0,19.9667,Southampton
Third,Male,28,1,0,15.85,Southampton
Third,Female,24,1,0,15.85,Southampton
Third,Male,20,0,0,9.5,Southampton
Third,Male,23.5,0,0,7.2292,Cherbourg
Third,Male,41,2,0,14.1083,Southampton
Third,Male,26,1,0,7.8542,Southampton
Third,Male,21,0,0,7.8542,Southampton
Third,Female,45,1,0,14.1083,Southampton
Third,Female,29,0,0,7.55,Southampton
Third,Male,25,0,0,7.25,Southampton
Third,Male,27,0,0,6.8583,Queenstown
Third,Male,11,0,0,18.7875,Cherbourg
Third,Female,26,0,0,7.75,Queenstown
Third,Male,27,0,0,6.975,Southampton
Third,Male,30,0,0,56.4958,Southampton
Third,Female,18,0,0,6.75,Queenstown
Third,Female,26,0,0,7.925,Southampton
Third,Female,23,0,0,7.925,Southampton
Third,Female,22,0,0,8.9625,Southampton
Third,Male,28,0,0,7.8958,Southampton
Third,Female,28,0,0,7.775,Southampton
Third,Female,27,0,0,7.75,Queenstown
Third,Female,2,0,1,12.2875,Southampton
Third,Female,22,1,1,12.2875,Southampton
Third,Male,43,0,0,6.45,Southampton
Third,Male,28,0,0,22.525,Southampton
Third,Female,27,0,0,7.925,Southampton
Third,Male,25,0,0,7.75,Queenstown
Third,Female,24,0,0,8.05,Southampton
Third,Male,42,0,0,7.65,Southampton
Third,Male,32,0,0,7.8875,Southampton
Third,Male,30,0,0,7.2292,Cherbourg
Third,Male,27,0,0,7.8958,Southampton
Third,Female,27,1,0,7.925,Southampton
Third,Female,25,1,0,7.925,Southampton
Third,Male,24,0,0,7.8958,Southampton
Third,Male,29,0,0,7.8958,Cherbourg
Third,Male,21,0,0,7.7958,Southampton
Third,Male,28,0,0,7.05,Southampton
Third,Male,20,0,0,7.8542,Southampton
Third,Male,48,0,0,7.8542,Southampton
Third,Male,17,1,0,7.0542,Southampton
Third,Female,26,0,0,7.75,Queenstown
Third,Male,28,0,0,8.1125,Southampton
Third,Male,34,0,0,6.4958,Southampton
Third,Male,26,0,0,7.775,Southampton
Third,Male,22,0,0,7.7958,Southampton
Third,Male,33,0,0,8.6542,Southampton
Third,Male,31,0,0,7.775,Southampton
Third,Male,29,0,0,7.8542,Southampton
Third,Male,4,1,1,11.1333,Southampton
Third,Female,1,1,1,11.1333,Southampton
Third,Male,49,0,0,0,Southampton
Third,Male,33,0,0,7.775,Southampton
Third,Male,19,0,0,0,Southampton
Third,Female,27,0,2,11.1333,Southampton
Third,Male,18,1,2,23.45,Southampton
Third,Female,17,1,2,23.45,Southampton
Third,Male,28,1,2,23.45,Southampton
Third,Female,35,1,2,23.45,Southampton
Third,Male,23,0,0,7.8958,Southampton
Third,Male,32,0,0,7.8542,Southampton
Third,Male,27,0,0,7.8542,Southampton
Third,Female,20,1,0,9.825,Southampton
Third,Female,21,1,0,9.825,Southampton
Third,Male,32,0,0,7.925,Southampton
Third,Male,17,0,0,7.125,Southampton
Third,Male,21,0,0,8.4333,Southampton
Third,Male,30,0,0,7.8958,Southampton
Third,Male,21,0,0,7.7958,Southampton
Third,Male,33,0,0,7.8542,Southampton
Third,Male,22,0,0,7.5208,Southampton
Third,Female,4,0,1,13.4167,Cherbourg
Third,Male,39,0,1,13.4167,Cherbourg
Third,Male,21,0,0,7.2292,Cherbourg
Third,Male,18.5,0,0,7.2292,Cherbourg
Third,Male,24,0,0,7.75,Queenstown
Third,Male,27,0,0,7.25,Southampton
Third,Female,26,0,0,7.75,Queenstown
Third,Female,24,0,0,7.75,Queenstown
Third,Male,34.5,0,0,7.8292,Queenstown
Third,Male,44,0,0,8.05,Southampton
Third,Male,25,0,0,7.75,Queenstown
Third,Male,26,1,0,14.4542,Cherbourg
Third,Female,22,1,0,14.4542,Cherbourg
Third,Male,25,1,0,7.75,Queenstown
Third,Male,25,1,0,7.75,Queenstown
Third,Male,26,0,0,7.7375,Queenstown
Third,Female,22,2,0,8.6625,Southampton
Third,Male,26,2,0,8.6625,Southampton
Third,Female,4,0,2,22.025,Southampton
Third,Male,29,3,1,22.025,Southampton
Third,Female,26,1,1,22.025,Southampton
Third,Female,1,1,1,12.1833,Southampton
Third,Male,18,1,1,7.8542,Southampton
Third,Female,36,0,2,12.1833,Southampton
Third,Male,25,0,0,7.8958,Cherbourg
Third,Male,25,0,0,7.2292,Cherbourg
Third,Male,26,0,0,7.225,Cherbourg
Third,Female,37,0,0,9.5875,Southampton
Third,Male,28,0,0,7.8958,Southampton
Third,Male,33,0,0,56.4958,Southampton
Third,Male,32,0,0,56.4958,Southampton
Third,Female,22,0,0,7.25,Southampton
Third,Male,26,0,0,7.75,Queenstown
Third,Male,26,0,0,56.4958,Southampton
Third,Male,29,0,0,9.4833,Southampton
Third,Male,29,0,0,7.775,Southampton
Third,Male,22,0,0,7.775,Southampton
Third,Male,22,0,0,7.225,Cherbourg
Third,Male,17,3,1,25.4667,Southampton
Third,Female,16,3,1,25.4667,Southampton
Third,Female,20,3,1,25.4667,Southampton
Third,Female,22,3,1,25.4667,Southampton
Third,Female,29,0,4,25.4667,Southampton
Third,Male,32,0,0,7.925,Southampton
Third,Male,34.5,0,0,6.4375,Cherbourg
Third,Female,26,1,0,15.5,Queenstown
Third,Male,25,1,0,15.5,Queenstown
Third,Male,36,0,0,0,Southampton
Third,Male,39,0,0,24.15,Southampton
Third,Male,24,0,0,9.5,Southampton
Third,Female,25,0,0,7.775,Southampton
Third,Female,45,0,0,7.75,Southampton
Third,Male,36,1,0,15.55,Southampton
Third,Female,30,1,0,15.55,Southampton
Third,Male,20,1,0,7.925,Southampton
Third,Male,25,0,0,7.8792,Queenstown
Third,Male,28,0,0,56.4958,Southampton
Third,Male,28,0,0,7.55,Southampton
Third,Male,30,1,0,16.1,Southampton
Third,Female,26,1,0,16.1,Southampton
Third,Male,25,0,0,7.8792,Southampton
Third,Male,20.5,0,0,7.25,Southampton
Third,Male,27,0,0,8.6625,Southampton
Third,Male,51,0,0,7.0542,Southampton
Third,Female,23,0,0,7.8542,Southampton
Third,Male,32,0,0,7.5792,Southampton
Third,Male,24,0,0,7.8958,Southampton
Third,Male,32,0,0,7.55,Southampton
Third,Female,25,0,0,7.75,Queenstown
Third,Male,24,0,0,7.1417,Southampton
Third,Male,22,0,0,7.125,Southampton
Third,Female,24,0,0,7.8792,Queenstown
Third,Male,26,0,0,7.75,Queenstown
Third,Male,26,0,0,8.05,Southampton
Third,Male,29,0,0,7.925,Southampton
Third,Male,34,0,0,7.2292,Cherbourg
Third,Female,30.5,0,0,7.75,Queenstown
Third,Female,26,0,0,7.7375,Queenstown
Third,Male,26,0,0,7.2292,Cherbourg
Third,Male,35,0,0,7.8958,Cherbourg
Third,Male,33,0,0,7.8958,Southampton
Third,Female,27,0,0,7.225,Cherbourg
Third,Male,25,0,0,7.8958,Cherbourg
Third,Female,25,0,0,7.75,Queenstown
Third,Male,38,0,0,7.75,Queenstown
Third,Female,25,2,0,23.25,Queenstown
Third,Female,24,2,0,23.25,Queenstown
Third,Male,30,2,0,23.25,Queenstown
Third,Female,25,0,0,7.7875,Queenstown
Third,Male,24,0,0,15.5,Queenstown
Third,Female,18,0,0,7.8792,Queenstown
Third,Female,15,0,0,8.0292,Queenstown
Third,Female,35,0,0,7.75,Queenstown
Third,Male,24,0,0,7.75,Queenstown
Third,Male,24,1,0,16.1,Southampton
Third,Female,19,1,0,16.1,Southampton
Third,Female,25,0,0,7.75,Queenstown
Third,Female,24,0,0,8.05,Southampton
Third,Female,27,0,0,8.05,Southampton
Third,Male,55.5,0,0,8.05,Southampton
Third,Male,25,0,0,7.75,Queenstown
Third,Male,21,0,0,7.775,Southampton
Third,Male,23,0,0,8.05,Southampton
Third,Male,24,0,0,7.8958,Southampton
Third,Male,21,0,0,7.8958,Southampton
Third,Male,28,0,0,7.8958,Southampton
Third,Male,25,0,0,7.8958,Southampton
Third,Female,25,0,0,7.8792,Queenstown
Third,Male,25,0,0,7.65,Southampton
Third,Male,6,0,1,12.475,Southampton
Third,Female,27,0,1,12.475,Southampton
Third,Male,25,0,0,8.05,Southampton
Third,Female,23,1,0,24.15,Queenstown
Third,Male,25,1,0,24.15,Queenstown
Third,Male,22,0,0,8.4583,Queenstown
Third,Male,34,0,0,8.05,Southampton
Third,Male,25,0,0,7.75,Queenstown
Third,Male,27,0,0,7.775,Southampton
Third,Male,8,1,1,15.2458,Cherbourg
Third,Male,9,1,1,15.2458,Cherbourg
Third,Female,28,0,2,15.2458,Cherbourg
Third,Female,22,0,0,7.2292,Cherbourg
Third,Male,25,0,0,8.05,Southampton
Third,Female,25,0,0,7.7333,Queenstown
Third,Female,24,0,0,7.75,Queenstown
Third,Male,25,0,0,8.05,Southampton
Third,Female,24,1,0,15.5,Queenstown
Third,Female,27,1,0,15.5,Queenstown
Third,Female,25,0,0,15.5,Queenstown
Third,Male,18,0,0,7.75,Southampton
Third,Male,22,0,0,7.8958,Southampton
Third,Female,15,0,0,7.225,Cherbourg
Third,Female,1,0,2,15.7417,Cherbourg
Third,Male,20,1,1,15.7417,Cherbourg
Third,Female,19,1,1,15.7417,Cherbourg
Third,Male,33,0,0,8.05,Southampton
Third,Male,25,0,0,7.8958,Southampton
Third,Male,27,0,0,7.2292,Cherbourg
Third,Female,27,0,0,7.75,Queenstown
Third,Male,24,0,0,7.8958,Southampton
Third,Male,12,1,0,11.2417,Cherbourg
Third,Female,14,1,0,11.2417,Cherbourg
Third,Female,29,0,0,7.925,Southampton
Third,Male,28,0,0,8.05,Southampton
Third,Female,18,0,0,7.775,Southampton
Third,Female,26,0,0,7.8542,Southampton
Third,Male,21,0,0,7.8542,Southampton
Third,Male,41,0,0,7.125,Southampton
Third,Male,39,0,0,7.925,Southampton
Third,Male,21,0,0,7.8,Southampton
Third,Male,28.5,0,0,7.2292,Cherbourg
Third,Female,22,0,0,7.75,Southampton
Third,Male,61,0,0,6.2375,Southampton
Third,Male,25,1,0,15.5,Queenstown
Third,Male,23,0,0,7.8292,Queenstown
Third,Female,26,1,0,15.5,Queenstown
Third,Male,25,0,0,7.7333,Queenstown
Third,Male,24,0,0,7.75,Queenstown
Third,Male,25,0,0,7.75,Queenstown
Third,Male,23,0,0,9.225,Southampton
Third,Female,25,0,0,7.75,Queenstown
Third,Female,24,0,0,7.75,Queenstown
Third,Female,26,0,0,7.8792,Queenstown
Third,Female,22,0,0,7.775,Southampton
Third,Male,25,0,0,7.75,Queenstown
Third,Female,20,0,0,7.8292,Queenstown
Third,Male,9,0,1,3.1708,Southampton
Third,Male,28,0,0,22.525,Southampton
Third,Male,42,0,1,8.4042,Southampton
Third,Male,22,0,0,7.3125,Southampton
Third,Female,31,0,0,7.8542,Southampton
Third,Male,28,0,0,7.8542,Southampton
Third,Male,32,0,0,7.775,Southampton
Third,Male,20,0,0,9.225,Southampton
Third,Female,23,0,0,8.6625,Southampton
Third,Female,20,0,0,8.6625,Southampton
Third,Male,20,0,0,8.6625,Southampton
Third,Male,16,0,0,9.2167,Southampton
Third,Female,31,0,0,8.6833,Southampton
Third,Female,26,0,0,7.6292,Queenstown
Third,Male,2,3,1,21.075,Southampton
Third,Male,6,3,1,21.075,Southampton
Third,Female,3,3,1,21.075,Southampton
Third,Female,8,3,1,21.075,Southampton
Third,Female,29,0,4,21.075,Southampton
Third,Male,1,4,1,39.6875,Southampton
Third,Male,7,4,1,39.6875,Southampton
Third,Male,2,4,1,39.6875,Southampton
Third,Male,16,4,1,39.6875,Southampton
Third,Male,14,4,1,39.6875,Southampton
Third,Female,41,0,5,39.6875,Southampton
Third,Male,21,0,0,8.6625,Southampton
Third,Male,19,0,0,14.5,Southampton
Third,Male,25,0,0,8.7125,Cherbourg
Third,Male,32,0,0,7.8958,Southampton
Third,Male,0.75,1,1,13.775,Southampton
Third,Female,3,1,1,13.775,Southampton
Third,Female,26,0,2,13.775,Southampton
Third,Male,25,0,0,7,Southampton
Third,Male,23,0,0,7.775,Southampton
Third,Male,25,0,0,8.05,Southampton
Third,Male,21,0,0,7.925,Southampton
Third,Male,25,0,0,7.925,Southampton
Third,Male,22,0,0,7.25,Southampton
Third,Male,25,1,0,7.775,Southampton
Third,Male,25,1,1,22.3583,Cherbourg
Third,Female,23,1,1,22.3583,Cherbourg
Third,Female,26,0,2,22.3583,Cherbourg
Third,Female,26,0,0,8.1375,Queenstown
Third,Male,24,0,0,8.05,Southampton
Third,Female,28,0,0,7.8958,Southampton
Third,Male,19,0,0,7.8958,Southampton
Third,Male,25,0,0,7.8958,Southampton
Third,Male,25,1,0,7.775,Southampton
Third,Female,18,0,0,7.775,Southampton
Third,Male,32,0,0,8.05,Southampton
Third,Male,24,0,0,7.8958,Southampton
Third,Male,17,0,0,8.6625,Southampton
Third,Male,24,0,0,8.6625,Southampton
Third,Male,31,0,0,7.8958,Southampton
Third,Female,24,0,0,8.1125,Southampton
Third,Male,28,0,0,7.2292,Cherbourg
Third,Male,30,0,0,7.25,Southampton
Third,Male,38,0,0,7.8958,Southampton
Third,Male,21,0,0,8.05,Southampton
Third,Male,10,4,1,29.125,Queenstown
Third,Male,4,4,1,29.125,Queenstown
Third,Male,7,4,1,29.125,Queenstown
Third,Male,2,4,1,29.125,Queenstown
Third,Male,8,4,1,29.125,Queenstown
Third,Female,39,0,5,29.125,Queenstown
Third,Female,22,0,0,39.6875,Southampton
Third,Male,35,0,0,7.125,Southampton
Third,Female,22,0,0,7.7208,Queenstown
Third,Male,40,0,0,14.5,Southampton
Third,Female,36,0,0,14.5,Southampton
Third,Male,50,1,0,14.5,Southampton
Third,Female,47,1,0,14.5,Southampton
Third,Male,23,0,0,8.05,Southampton
Third,Male,25,0,0,7.775,Southampton
Third,Female,2,1,1,20.2125,Southampton
Third,Male,18,1,1,20.2125,Southampton
Third,Female,41,0,2,20.2125,Southampton
Third,Female,24,0,0,8.05,Southampton
Third,Male,50,0,0,8.05,Southampton
Third,Male,16,0,0,8.05,Southampton
Third,Male,24,0,0,7.75,Queenstown
Third,Male,25,0,0,24.15,Queenstown
Third,Male,33,0,0,7.2292,Cherbourg
Third,Male,25,0,0,7.225,Cherbourg
Third,Male,28,0,0,7.225,Cherbourg
Third,Male,22,0,0,7.7292,Queenstown
Third,Male,25,0,0,7.575,Southampton
Third,Male,38.5,0,0,7.25,Southampton
Third,Male,14.5,8,2,69.55,Southampton
Third,Male,14.5,8,2,69.55,Southampton
Third,Female,14.5,8,2,69.55,Southampton
Third,Female,14.5,8,2,69.55,Southampton
Third,Female,14.5,8,2,69.55,Southampton
Third,Female,14.5,8,2,69.55,Southampton
Third,Male,14.5,8,2,69.55,Southampton
Third,Male,14.5,8,2,69.55,Southampton
Third,Male,14.5,8,2,69.55,Southampton
Third,Male,14.5,1,9,69.55,Southampton
Third,Female,14.5,1,9,69.55,Southampton
Third,Male,24,0,0,9.325,Southampton
Third,Female,21,0,0,7.65,Southampton
Third,Male,39,0,0,7.925,Southampton
Third,Male,22,2,0,21.6792,Cherbourg
Third,Male,23,2,0,21.6792,Cherbourg
Third,Male,26,2,0,21.6792,Cherbourg
Third,Female,1,1,1,16.7,Southampton
Third,Female,24,0,2,16.7,Southampton
Third,Female,4,1,1,16.7,Southampton
Third,Male,25,0,0,9.5,Southampton
Third,Male,20,0,0,8.05,Southampton
Third,Male,24.5,0,0,8.05,Southampton
Third,Male,25,0,0,7.725,Queenstown
Third,Male,23,0,0,7.8958,Southampton
Third,Male,25,0,0,7.75,Queenstown
Third,Male,29,0,0,9.5,Southampton
Third,Male,25,0,0,15.1,Southampton
Third,Female,25,0,0,7.7792,Queenstown
Third,Male,26,0,0,8.05,Southampton
Third,Male,27,0,0,8.05,Southampton
Third,Male,22,0,0,7.2292,Cherbourg
Third,Male,24,0,0,8.05,Southampton
Third,Male,40,0,0,7.8958,Southampton
Third,Male,21,0,0,7.925,Southampton
Third,Female,18,0,0,7.4958,Southampton
Third,Male,4,3,2,27.9,Southampton
Third,Male,10,3,2,27.9,Southampton
Third,Female,9,3,2,27.9,Southampton
Third,Female,2,3,2,27.9,Southampton
Third,Male,40,1,4,27.9,Southampton
Third,Female,45,1,4,27.9,Southampton
Third,Male,25,0,0,7.8958,Southampton
Third,Male,25,0,0,8.05,Southampton
Third,Male,22,0,0,8.6625,Southampton
Third,Male,29,0,0,7.75,Queenstown
Third,Female,22,0,0,7.7333,Queenstown
Third,Male,19,0,0,7.65,Southampton
Third,Male,30,0,0,8.05,Southampton
Third,Male,25,0,0,8.05,Southampton
Third,Male,32,0,0,8.05,Southampton
Third,Male,25,0,0,7.8958,Southampton
Third,Male,33,0,0,8.6625,Cherbourg
Third,Female,23,0,0,7.55,Southampton
Third,Male,21,0,0,8.05,Southampton
Third,Male,60.5,0,0,7.725,Southampton
Third,Male,19,0,0,7.8958,Southampton
Third,Female,22,0,0,9.8375,Southampton
Third,Male,31,0,0,7.925,Southampton
Third,Male,27,0,0,8.6625,Southampton
Third,Female,2,0,1,10.4625,Southampton
Third,Female,29,1,1,10.4625,Southampton
Third,Male,16,0,0,8.05,Southampton
Third,Male,44,0,0,7.925,Southampton
Third,Male,25,0,0,7.05,Southampton
Third,Male,74,0,0,7.775,Southampton
Third,Male,14,0,0,9.225,Southampton
Third,Male,24,0,0,7.7958,Southampton
Third,Male,25,0,0,7.7958,Southampton
Third,Male,34,0,0,8.05,Southampton
Third,Male,0.4167,0,1,8.5167,Cherbourg
Third,Male,25,1,0,6.4375,Cherbourg
Third,Male,22,0,0,6.4375,Cherbourg
Third,Male,30,0,0,7.225,Cherbourg
Third,Female,16,1,1,8.5167,Cherbourg
Third,Male,25,0,0,8.05,Southampton
Third,Male,35,1,0,16.1,Southampton
Third,Female,28,1,0,16.1,Southampton
Third,Male,32,0,0,7.925,Southampton
Third,Male,28,0,0,7.75,Queenstown
Third,Male,25,0,0,7.8958,Southampton
Third,Male,30.5,0,0,8.05,Southampton
Third,Male,44,0,0,8.05,Southampton
Third,Male,29,0,0,7.2292,Cherbourg
Third,Male,25,0,0,0,Southampton
Third,Male,28,0,0,7.2292,Cherbourg
Third,Male,7,1,1,15.2458,Cherbourg
Third,Female,9,1,1,15.2458,Cherbourg
Third,Female,29,0,2,15.2458,Cherbourg
Third,Male,36,0,0,7.8958,Southampton
Third,Female,18,0,0,9.8417,Southampton
Third,Female,63,0,0,9.5875,Southampton
Third,Male,19,1,1,14.5,Southampton
Third,Male,11.5,1,1,14.5,Southampton
Third,Male,40.5,0,2,14.5,Southampton
Third,Female,10,0,2,24.15,Southampton
Third,Male,36,1,1,24.15,Southampton
Third,Female,30,1,1,24.15,Southampton
Third,Male,25,0,0,9.5,Southampton
Third,Male,33,0,0,9.5,Southampton
Third,Male,28,0,0,9.5,Southampton
Third,Male,28,0,0,9.5,Southampton
Third,Male,47,0,0,9,Southampton
Third,Female,18,2,0,18,Southampton
Third,Male,31,3,0,18,Southampton
Third,Male,16,2,0,18,Southampton
Third,Female,31,1,0,18,Southampton
Third,Male,22,0,0,7.225,Cherbourg
Third,Male,20,0,0,7.8542,Southampton
Third,Female,14,0,0,7.8542,Southampton
Third,Male,22,0,0,7.8958,Southampton
Third,Male,22,0,0,9,Southampton
Third,Male,24,0,0,8.05,Southampton
Third,Male,28,0,0,7.55,Southampton
Third,Male,25,0,0,8.05,Southampton
Third,Male,32.5,0,0,9.5,Southampton
Third,Female,38,0,0,7.2292,Cherbourg
Third,Male,51,0,0,7.75,Southampton
Third,Male,18,1,0,6.4958,Southampton
Third,Male,21,1,0,6.4958,Southampton
Third,Female,47,1,0,7,Southampton
Third,Male,25,0,0,8.7125,Southampton
Third,Male,29,0,0,7.55,Southampton
Third,Male,25,0,0,8.05,Southampton
Third,Male,28.5,0,0,16.1,Southampton
Third,Male,21,0,0,7.25,Southampton
Third,Male,27,0,0,8.6625,Southampton
Third,Male,25,0,0,7.25,Southampton
Third,Male,36,0,0,9.5,Southampton
Third,Male,27,1,0,14.4542,Cherbourg
Third,Female,15,1,0,14.4542,Cherbourg
Third,Male,45.5,0,0,7.225,Cherbourg
Third,Male,34,0,0,7.225,Cherbourg
