PassengerClass,Sex,Survived,Age Group,Relative,Fare,No of Siblings or Spouses on Board,No of Parents or Children on Board,Port of Embarkation,Age,Passenger Fare
Second,Male,No,Youth,Few,Cheap,1,0,Cherbourg,29,27.7208
Second,Female,Yes,Youth,Few,Cheap,1,0,Cherbourg,24,27.7208
Second,Male,No,Youth,None,Cheap,0,0,Southampton,25,31.5
Second,Male,No,Teen,None,Cheap,0,0,Southampton,18,73.5
Second,Female,Yes,Teen,Few,Cheap,0,1,Southampton,18,23
Second,Female,Yes,Adult,Few,Cheap,0,1,Southampton,34,23
Second,Male,No,Adult,None,Cheap,0,0,Southampton,54,26
Second,Male,Yes,Child,Few,Cheap,0,2,Southampton,8,32.5
Second,Male,No,Adult,Few,Cheap,1,1,Southampton,42,32.5
Second,Female,Yes,Adult,Few,Cheap,1,1,Southampton,34,32.5
Second,Female,Yes,Youth,Few,Cheap,1,0,Cherbourg,27,13.8583
Second,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,30,13.8583
Second,Male,No,Youth,None,Cheap,0,0,Southampton,23,13
Second,Male,No,Youth,None,Cheap,0,0,Southampton,21,13
Second,Male,No,Teen,None,Cheap,0,0,Southampton,18,13
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,40,26
Second,Female,Yes,Youth,Few,Cheap,1,0,Southampton,29,26
Second,Male,No,Teen,None,Cheap,0,0,Southampton,18,10.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,36,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,41,0
Second,Female,No,Adult,None,Cheap,0,0,Southampton,38,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,35,26
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,38,21
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,34,21
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,34,13
Second,Male,No,Teen,None,Cheap,0,0,Southampton,16,26
Second,Male,No,Youth,None,Cheap,0,0,Southampton,26,10.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,47,10.5
Second,Male,No,Youth,Few,Cheap,1,0,Southampton,21,11.5
Second,Male,No,Youth,Few,Cheap,1,0,Southampton,21,11.5
Second,Male,No,Youth,None,Cheap,0,0,Southampton,24,13.5
Second,Male,No,Youth,None,Cheap,0,0,Southampton,24,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,34,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,30,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,52,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,30,13
Second,Male,Yes,Baby,Few,Cheap,1,1,Southampton,0.6667,14.5
Second,Female,Yes,Youth,Few,Cheap,0,2,Southampton,24,14.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,44,13
Second,Female,Yes,Child,Few,Cheap,0,1,Southampton,6,33
Second,Male,No,Youth,Few,Cheap,0,1,Southampton,28,33
Second,Male,Yes,Adult,None,Cheap,0,0,Southampton,62,10.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,30,10.5
Second,Female,Yes,Child,Few,Cheap,0,2,Southampton,7,26.25
Second,Male,No,Adult,Few,Cheap,1,1,Southampton,43,26.25
Second,Female,Yes,Adult,Few,Cheap,1,1,Southampton,45,26.25
Second,Female,Yes,Youth,Few,Cheap,1,2,Southampton,24,65
Second,Female,Yes,Youth,Few,Cheap,1,2,Southampton,24,65
Second,Male,No,Adult,Few,Cheap,1,2,Southampton,49,65
Second,Female,Yes,Adult,Few,Cheap,1,2,Southampton,48,65
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,55,16
Second,Male,No,Youth,Few,Cheap,2,0,Southampton,24,73.5
Second,Male,No,Adult,Few,Cheap,2,0,Southampton,32,73.5
Second,Male,No,Youth,Few,Cheap,2,0,Southampton,21,73.5
Second,Female,No,Teen,Few,Cheap,1,1,Southampton,18,13
Second,Female,Yes,Youth,Few,Cheap,2,1,Southampton,20,23
Second,Male,No,Youth,Few,Cheap,2,1,Southampton,23,11.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,36,13
Second,Female,Yes,Adult,Few,Cheap,1,3,Southampton,54,23
Second,Male,No,Adult,None,Cheap,0,0,Southampton,50,13
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,44,26
Second,Female,Yes,Youth,Few,Cheap,1,0,Southampton,29,26
Second,Male,No,Youth,None,Cheap,0,0,Southampton,21,73.5
Second,Male,Yes,Adult,None,Cheap,0,0,Southampton,42,13
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,63,26
Second,Female,No,Adult,Few,Cheap,1,0,Southampton,60,26
Second,Male,No,Adult,None,Cheap,0,0,Southampton,33,12.275
Second,Female,Yes,Teen,None,Cheap,0,0,Southampton,17,10.5
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,42,27
Second,Female,Yes,Youth,Few,Cheap,2,1,Southampton,24,27
Second,Male,No,Adult,None,Cheap,0,0,Southampton,47,15
Second,Male,No,Youth,Few,Cheap,2,0,Southampton,24,31.5
Second,Male,No,Youth,Few,Cheap,2,0,Southampton,22,31.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,32,10.5
Second,Female,Yes,Youth,None,Cheap,0,0,Cherbourg,23,13.7917
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,34,26
Second,Female,Yes,Youth,Few,Cheap,1,0,Southampton,24,26
Second,Female,No,Youth,None,Cheap,0,0,Southampton,22,21
Second,Female,Yes,Adult,None,Cheap,0,0,Queenstown,30,12.35
Second,Male,No,Adult,None,Cheap,0,0,Queenstown,35,12.35
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,45,13.5
Second,Male,No,Adult,None,Cheap,0,0,Queenstown,57,12.35
Second,Male,No,Adult,None,Cheap,0,0,Southampton,40,0
Second,Male,No,Adult,None,Cheap,0,0,Southampton,31,10.5
Second,Female,No,Youth,Few,Cheap,1,1,Southampton,26,26
Second,Male,No,Adult,Few,Cheap,1,1,Southampton,30,26
Second,Male,No,Adult,None,Cheap,0,0,Queenstown,35,10.7083
Second,Female,Yes,Baby,Few,Cheap,1,2,Cherbourg,1,41.5792
Second,Female,Yes,Child,Few,Cheap,1,2,Cherbourg,3,41.5792
Second,Male,No,Youth,Few,Cheap,1,2,Cherbourg,25,41.5792
Second,Female,Yes,Youth,Few,Cheap,1,2,Cherbourg,22,41.5792
Second,Female,Yes,Teen,None,Cheap,0,0,Cherbourg,17,12
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,30,33
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,34,10.5
Second,Male,No,Adult,None,Cheap,0,0,Cherbourg,36,12.875
Second,Male,No,Youth,None,Cheap,0,0,Southampton,24,10.5
Second,Male,No,Adult,None,Cheap,0,0,Queenstown,61,12.35
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,50,26
Second,Female,Yes,Adult,Few,Cheap,1,0,Southampton,42,26
Second,Female,No,Adult,None,Cheap,0,0,Southampton,57,10.5
Second,Male,No,Adult,None,Cheap,0,0,Cherbourg,30,15.0458
Second,Male,Yes,Baby,Few,Cheap,0,2,Cherbourg,1,37.0042
Second,Male,No,Adult,Few,Cheap,1,1,Cherbourg,31,37.0042
Second,Female,Yes,Youth,Few,Cheap,1,1,Cherbourg,24,37.0042
Second,Male,No,Adult,None,Cheap,0,0,Cherbourg,30,15.5792
Second,Male,No,Adult,None,Cheap,0,0,Southampton,30,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,40,16
Second,Male,No,Adult,None,Cheap,0,0,Southampton,32,13.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,30,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,46,26
Second,Female,Yes,Teen,Few,Cheap,0,1,Southampton,13,19.5
Second,Female,Yes,Adult,Few,Cheap,0,1,Southampton,41,19.5
Second,Male,Yes,Youth,None,Cheap,0,0,Southampton,19,10.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,39,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,48,13
Second,Male,No,Senior,None,Cheap,0,0,Southampton,70,10.5
Second,Male,No,Youth,None,Cheap,0,0,Southampton,27,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,54,14
Second,Male,No,Adult,None,Cheap,0,0,Southampton,39,26
Second,Male,No,Teen,None,Cheap,0,0,Southampton,16,10.5
Second,Male,No,Adult,None,Cheap,0,0,Queenstown,62,9.6875
Second,Male,No,Adult,Few,Cheap,1,0,Cherbourg,32.5,30.0708
Second,Female,Yes,Teen,Few,Cheap,1,0,Cherbourg,14,30.0708
Second,Male,Yes,Child,Few,Cheap,1,1,Southampton,2,26
Second,Male,Yes,Child,Few,Cheap,1,1,Southampton,3,26
Second,Male,No,Adult,Few,Cheap,0,2,Southampton,36.5,26
Second,Male,No,Youth,None,Cheap,0,0,Southampton,26,13
Second,Male,No,Youth,Few,Cheap,1,1,Southampton,19,36.75
Second,Male,No,Youth,None,Cheap,0,0,Southampton,28,13.5
Second,Male,Yes,Youth,None,Cheap,0,0,Cherbourg,20,13.8625
Second,Female,Yes,Youth,None,Cheap,0,0,Southampton,29,10.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,39,13
Second,Male,Yes,Youth,None,Cheap,0,0,Southampton,22,10.5
Second,Male,Yes,Youth,None,Cheap,0,0,Cherbourg,28,13.8625
Second,Male,No,Youth,None,Cheap,0,0,Southampton,23,10.5
Second,Male,Yes,Youth,None,Cheap,0,0,Cherbourg,29,13.8583
Second,Male,No,Youth,None,Cheap,0,0,Southampton,28,10.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,37,0
Second,Female,Yes,Adult,Few,Cheap,0,1,Southampton,50,26
Second,Male,No,Youth,None,Cheap,0,0,Southampton,19,10.5
Second,Male,No,Adult,None,Cheap,0,0,Cherbourg,30,15.05
Second,Male,No,Adult,None,Cheap,0,0,Southampton,41,13
Second,Female,Yes,Youth,Few,Cheap,0,1,Southampton,21,21
Second,Female,Yes,Youth,None,Cheap,0,0,Southampton,19,26
Second,Male,No,Adult,Few,Cheap,0,1,Southampton,43,21
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,32,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,34,13
Second,Male,Yes,Adult,None,Cheap,0,0,Cherbourg,30,12.7375
Second,Male,No,Youth,None,Cheap,0,0,Cherbourg,27,15.0333
Second,Female,Yes,Child,Few,Cheap,1,1,Southampton,2,26
Second,Female,Yes,Child,Few,Cheap,1,1,Southampton,8,26
Second,Female,Yes,Adult,Few,Cheap,0,2,Southampton,33,26
Second,Male,No,Adult,None,Cheap,0,0,Southampton,36,10.5
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,34,21
Second,Female,Yes,Adult,Few,Cheap,3,0,Southampton,30,21
Second,Female,Yes,Youth,None,Cheap,0,0,Southampton,28,13
Second,Male,No,Youth,None,Cheap,0,0,Cherbourg,23,15.0458
Second,Male,Yes,Baby,Few,Cheap,1,1,Southampton,0.8333,18.75
Second,Male,Yes,Child,Few,Cheap,1,1,Southampton,3,18.75
Second,Female,Yes,Youth,Many,Cheap,2,3,Southampton,24,18.75
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,50,10.5
Second,Male,No,Youth,None,Cheap,0,0,Southampton,19,10.5
Second,Female,Yes,Youth,None,Cheap,0,0,Southampton,21,10.5
Second,Male,No,Youth,None,Cheap,0,0,Southampton,26,13
Second,Male,No,Youth,None,Cheap,0,0,Southampton,25,13
Second,Male,No,Youth,None,Cheap,0,0,Southampton,27,26
Second,Female,Yes,Youth,Few,Cheap,0,1,Southampton,25,26
Second,Female,Yes,Teen,Few,Cheap,0,2,Southampton,18,13
Second,Female,Yes,Youth,None,Cheap,0,0,Southampton,20,36.75
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,30,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,59,13.5
Second,Female,Yes,Adult,None,Cheap,0,0,Queenstown,30,12.35
Second,Male,No,Adult,None,Cheap,0,0,Southampton,35,10.5
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,40,13
Second,Male,No,Youth,None,Cheap,0,0,Southampton,25,13
Second,Male,No,Adult,None,Cheap,0,0,Cherbourg,41,15.0458
Second,Male,No,Youth,None,Cheap,0,0,Southampton,25,10.5
Second,Male,No,Teen,None,Cheap,0,0,Southampton,18.5,13
Second,Male,No,Teen,None,Cheap,0,0,Southampton,14,65
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,50,10.5
Second,Male,No,Youth,None,Cheap,0,0,Southampton,23,13
Second,Female,Yes,Youth,None,Cheap,0,0,Southampton,28,12.65
Second,Female,Yes,Youth,None,Cheap,0,0,Southampton,27,10.5
Second,Male,No,Youth,Few,Cheap,1,0,Southampton,29,21
Second,Female,No,Youth,Few,Cheap,1,0,Southampton,27,21
Second,Male,No,Adult,None,Cheap,0,0,Southampton,40,13
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,31,21
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,30,21
Second,Male,No,Youth,Few,Cheap,1,0,Southampton,23,10.5
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,31,21
Second,Male,No,Adult,None,Cheap,0,0,Southampton,39,0
Second,Female,Yes,Teen,None,Cheap,0,0,Southampton,12,15.75
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,40,15.75
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,32.5,13
Second,Male,No,Youth,Few,Cheap,1,0,Southampton,27,26
Second,Female,Yes,Youth,Few,Cheap,1,0,Southampton,29,26
Second,Male,Yes,Child,Few,Cheap,1,1,Southampton,2,23
Second,Female,Yes,Child,Few,Cheap,1,1,Southampton,4,23
Second,Female,Yes,Youth,Few,Cheap,0,2,Southampton,29,23
Second,Female,Yes,Baby,Few,Cheap,1,2,Southampton,0.9167,27.75
Second,Female,Yes,Child,Few,Cheap,1,2,Southampton,5,27.75
Second,Male,No,Adult,Few,Cheap,1,2,Southampton,36,27.75
Second,Female,Yes,Adult,Few,Cheap,1,2,Southampton,33,27.75
Second,Male,No,Senior,None,Cheap,0,0,Southampton,66,10.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,30,12.875
Second,Male,Yes,Adult,None,Cheap,0,0,Southampton,31,13
Second,Male,Yes,Adult,None,Cheap,0,0,Southampton,31,13
Second,Female,Yes,Youth,None,Cheap,0,0,Southampton,26,13.5
Second,Female,No,Youth,None,Cheap,0,0,Southampton,24,13
Third,Male,No,Adult,None,Cheap,0,0,Southampton,42,7.55
Third,Male,No,Teen,Few,Cheap,0,2,Southampton,13,20.25
Third,Male,No,Teen,Few,Cheap,1,1,Southampton,16,20.25
Third,Female,Yes,Adult,Few,Cheap,1,1,Southampton,35,20.25
Third,Female,Yes,Teen,None,Cheap,0,0,Southampton,16,7.65
Third,Male,Yes,Youth,None,Cheap,0,0,Southampton,25,7.65
Third,Male,Yes,Youth,None,Cheap,0,0,Southampton,20,7.925
Third,Female,Yes,Teen,None,Cheap,0,0,Cherbourg,18,7.2292
Third,Male,No,Adult,None,Cheap,0,0,Southampton,30,7.25
Third,Male,No,Youth,None,Cheap,0,0,Southampton,26,8.05
Third,Female,No,Adult,Few,Cheap,1,0,Southampton,40,9.475
Third,Male,Yes,Baby,Few,Cheap,0,1,Southampton,0.8333,9.35
Third,Female,Yes,Teen,Few,Cheap,0,1,Southampton,18,9.35
Third,Male,Yes,Youth,None,Cheap,0,0,Cherbourg,26,18.7875
Third,Male,No,Youth,None,Cheap,0,0,Southampton,26,7.8875
Third,Male,No,Youth,None,Cheap,0,0,Southampton,20,7.925
Third,Male,No,Youth,None,Cheap,0,0,Southampton,24,7.05
Third,Male,No,Youth,None,Cheap,0,0,Southampton,25,7.05
Third,Male,No,Adult,None,Cheap,0,0,Southampton,35,8.05
Third,Male,No,Teen,None,Cheap,0,0,Southampton,18,8.3
Third,Male,No,Adult,None,Cheap,0,0,Southampton,32,22.525
Third,Female,Yes,Youth,Few,Cheap,1,0,Southampton,19,7.8542
Third,Male,No,Child,Many,Cheap,4,2,Southampton,4,31.275
Third,Female,No,Child,Many,Cheap,4,2,Southampton,6,31.275
Third,Female,No,Child,Many,Cheap,4,2,Southampton,2,31.275
Third,Female,Yes,Teen,Many,Cheap,4,2,Southampton,17,7.925
Third,Female,No,Adult,Many,Cheap,4,2,Southampton,38,7.775
Third,Female,No,Child,Many,Cheap,4,2,Southampton,9,31.275
Third,Female,No,Child,Many,Cheap,4,2,Southampton,11,31.275
Third,Male,No,Adult,Many,Cheap,1,5,Southampton,39,31.275
Third,Male,Yes,Youth,None,Cheap,0,0,Southampton,27,7.7958
Third,Male,No,Youth,None,Cheap,0,0,Southampton,26,7.775
Third,Female,No,Adult,Many,Cheap,1,5,Southampton,39,31.275
Third,Male,No,Youth,None,Cheap,0,0,Southampton,20,7.8542
Third,Male,No,Youth,None,Cheap,0,0,Southampton,26,7.8958
Third,Male,No,Youth,Few,Cheap,1,0,Southampton,25,17.8
Third,Female,No,Teen,Few,Cheap,1,0,Southampton,18,17.8
Third,Male,No,Youth,None,Cheap,0,0,Southampton,24,7.775
Third,Male,No,Adult,None,Cheap,0,0,Southampton,35,7.05
Third,Male,No,Child,Many,Cheap,4,2,Southampton,5,31.3875
Third,Male,No,Child,Many,Cheap,4,2,Southampton,9,31.3875
Third,Male,Yes,Child,Many,Cheap,4,2,Southampton,3,31.3875
Third,Male,No,Teen,Many,Cheap,4,2,Southampton,13,31.3875
Third,Female,Yes,Child,Many,Cheap,4,2,Southampton,5,31.3875
Third,Male,No,Adult,Many,Cheap,1,5,Southampton,40,31.3875
Third,Male,Yes,Youth,None,Cheap,0,0,Southampton,23,7.7958
Third,Female,Yes,Adult,Many,Cheap,1,5,Southampton,38,31.3875
Third,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,45,7.225
Third,Male,No,Youth,None,Cheap,0,0,Cherbourg,21,7.225
Third,Male,No,Youth,None,Cheap,0,0,Southampton,23,7.05
Third,Female,No,Teen,None,Cheap,0,0,Cherbourg,17,14.4583
Third,Male,No,Adult,None,Cheap,0,0,Cherbourg,30,7.225
Third,Male,No,Youth,None,Cheap,0,0,Southampton,23,7.8542
Third,Female,Yes,Teen,None,Cheap,0,0,Cherbourg,13,7.2292
Third,Male,No,Youth,None,Cheap,0,0,Cherbourg,20,7.225
Third,Male,No,Adult,Few,Cheap,1,0,Southampton,32,15.85
Third,Female,Yes,Adult,Few,Cheap,3,0,Southampton,33,15.85
Third,Female,Yes,Baby,Few,Cheap,2,1,Cherbourg,0.75,19.2583
Third,Female,Yes,Baby,Few,Cheap,2,1,Cherbourg,0.75,19.2583
Third,Female,Yes,Child,Few,Cheap,2,1,Cherbourg,5,19.2583
Third,Female,Yes,Youth,Few,Cheap,0,3,Cherbourg,24,19.2583
Third,Female,Yes,Teen,None,Cheap,0,0,Southampton,18,8.05
Third,Male,No,Adult,None,Cheap,0,0,Cherbourg,40,7.225
Third,Male,No,Youth,None,Cheap,0,0,Southampton,26,7.8958
Third,Male,Yes,Youth,None,Cheap,0,0,Cherbourg,20,7.2292
Third,Female,No,Teen,Few,Cheap,0,1,Cherbourg,18,14.4542
Third,Female,No,Adult,Few,Cheap,0,1,Cherbourg,45,14.4542
Third,Female,No,Youth,None,Cheap,0,0,Queenstown,27,7.8792
Third,Male,No,Youth,None,Cheap,0,0,Southampton,22,8.05
Third,Male,No,Youth,None,Cheap,0,0,Southampton,19,8.05
Third,Male,No,Youth,None,Cheap,0,0,Southampton,26,7.775
Third,Male,No,Youth,None,Cheap,0,0,Southampton,22,9.35
Third,Male,No,Youth,None,Cheap,0,0,Cherbourg,20,7.2292
Third,Male,No,Youth,None,Cheap,0,0,Cherbourg,20,4.0125
Third,Male,Yes,Adult,None,Cheap,0,0,Southampton,32,56.4958
Third,Male,No,Youth,None,Cheap,0,0,Southampton,21,7.775
Third,Male,No,Teen,None,Cheap,0,0,Southampton,18,7.75
Third,Male,No,Youth,None,Cheap,0,0,Southampton,26,7.8958
Third,Male,No,Child,Few,Cheap,1,1,Cherbourg,6,15.2458
Third,Female,No,Child,Few,Cheap,1,1,Cherbourg,9,15.2458
Third,Male,No,Youth,None,Cheap,0,0,Cherbourg,20,7.225
Third,Female,No,Adult,Few,Cheap,0,2,Cherbourg,30,15.2458
Third,Female,No,Teen,Few,Cheap,0,2,Queenstown,18,7.75
Third,Male,No,Adult,Few,Cheap,1,1,Queenstown,40,15.5
Third,Female,No,Adult,Few,Cheap,1,1,Queenstown,32,15.5
Third,Male,No,Youth,None,Cheap,0,0,Southampton,21,16.1
Third,Female,Yes,Youth,None,Cheap,0,0,Queenstown,22,7.725
Third,Female,No,Youth,None,Cheap,0,0,Southampton,20,7.8542
Third,Male,No,Youth,Few,Cheap,1,0,Southampton,29,7.0458
Third,Male,No,Youth,Few,Cheap,1,0,Southampton,22,7.25
Third,Male,No,Youth,None,Cheap,0,0,Southampton,22,7.7958
Third,Male,No,Adult,None,Cheap,0,0,Southampton,35,8.05
Third,Female,No,Teen,None,Cheap,0,0,Queenstown,18.5,7.2833
Third,Male,Yes,Youth,None,Cheap,0,0,Queenstown,21,7.8208
Third,Male,No,Youth,None,Cheap,0,0,Queenstown,19,6.75
Third,Female,No,Teen,None,Cheap,0,0,Queenstown,18,7.8792
Third,Female,No,Youth,None,Cheap,0,0,Southampton,21,8.6625
Third,Female,No,Adult,None,Cheap,0,0,Southampton,30,8.6625
Third,Male,No,Teen,None,Cheap,0,0,Southampton,18,8.6625
Third,Male,No,Adult,None,Cheap,0,0,Southampton,38,8.6625
Third,Male,No,Teen,None,Cheap,0,0,Southampton,17,8.6625
Third,Male,No,Teen,None,Cheap,0,0,Southampton,17,8.6625
Third,Female,No,Youth,None,Cheap,0,0,Queenstown,21,7.75
Third,Male,No,Youth,None,Cheap,0,0,Queenstown,21,7.75
Third,Male,No,Youth,None,Cheap,0,0,Southampton,21,8.05
Third,Male,No,Youth,Few,Cheap,1,0,Cherbourg,27,14.4583
Third,Female,No,Youth,Few,Cheap,1,0,Cherbourg,23,14.4583
Third,Male,No,Youth,None,Cheap,0,0,Southampton,28,7.7958
Third,Male,No,Youth,None,Cheap,0,0,Southampton,24,7.8542
Third,Female,Yes,Teen,None,Cheap,0,0,Queenstown,16,7.75
Third,Female,No,Adult,None,Cheap,0,0,Queenstown,37,7.75
Third,Male,No,Youth,None,Cheap,0,0,Southampton,28,7.25
Third,Male,No,Youth,None,Cheap,0,0,Southampton,24,8.05
Third,Male,No,Youth,None,Cheap,0,0,Queenstown,21,7.7333
Third,Male,Yes,Adult,None,Cheap,0,0,Southampton,32,56.4958
Third,Male,No,Youth,None,Cheap,0,0,Southampton,29,8.05
Third,Male,No,Youth,Few,Cheap,1,0,Cherbourg,26,14.4542
Third,Male,No,Teen,Few,Cheap,1,0,Cherbourg,18,14.4542
Third,Male,No,Youth,None,Cheap,0,0,Southampton,20,7.05
Third,Male,Yes,Teen,None,Cheap,0,0,Southampton,18,8.05
Third,Male,No,Youth,None,Cheap,0,0,Queenstown,24,7.25
Third,Male,No,Adult,None,Cheap,0,0,Southampton,36,7.4958
Third,Male,No,Youth,None,Cheap,0,0,Southampton,24,7.4958
Third,Male,No,Adult,None,Cheap,0,0,Queenstown,31,7.7333
Third,Male,No,Adult,None,Cheap,0,0,Queenstown,31,7.75
Third,Female,Yes,Youth,None,Cheap,0,0,Queenstown,22,7.75
Third,Female,No,Adult,None,Cheap,0,0,Queenstown,30,7.6292
Third,Male,No,Senior,None,Cheap,0,0,Queenstown,70.5,7.75
Third,Male,No,Adult,None,Cheap,0,0,Southampton,43,8.05
Third,Male,No,Adult,None,Cheap,0,0,Southampton,35,7.8958
Third,Male,No,Youth,None,Cheap,0,0,Southampton,27,7.8958
Third,Male,No,Youth,None,Cheap,0,0,Southampton,19,7.8958
Third,Male,No,Adult,None,Cheap,0,0,Southampton,30,8.05
Third,Male,Yes,Child,Few,Cheap,1,1,Southampton,9,15.9
Third,Male,Yes,Child,Few,Cheap,1,1,Southampton,3,15.9
Third,Female,Yes,Adult,Few,Cheap,0,2,Southampton,36,15.9
Third,Male,No,Adult,None,Cheap,0,0,Southampton,59,7.25
Third,Male,No,Youth,None,Cheap,0,0,Southampton,19,8.1583
Third,Female,Yes,Teen,Few,Cheap,0,1,Southampton,17,16.1
Third,Male,No,Adult,Few,Cheap,0,1,Southampton,44,16.1
Third,Male,No,Teen,None,Cheap,0,0,Southampton,17,8.6625
Third,Male,No,Youth,None,Cheap,0,0,Cherbourg,22.5,7.225
Third,Male,Yes,Adult,None,Cheap,0,0,Southampton,45,8.05
Third,Female,No,Youth,None,Cheap,0,0,Southampton,22,10.5167
Third,Male,No,Youth,None,Cheap,0,0,Southampton,19,10.1708
Third,Female,Yes,Adult,None,Cheap,0,0,Queenstown,30,6.95
Third,Male,Yes,Youth,None,Cheap,0,0,Queenstown,29,7.75
Third,Male,No,Baby,Few,Cheap,0,2,Southampton,0.3333,14.4
Third,Male,No,Adult,Few,Cheap,1,1,Southampton,34,14.4
Third,Female,No,Youth,Few,Cheap,1,1,Southampton,28,14.4
Third,Male,No,Youth,None,Cheap,0,0,Southampton,27,7.8958
Third,Male,No,Youth,None,Cheap,0,0,Southampton,25,7.8958
Third,Male,No,Youth,Few,Cheap,2,0,Southampton,24,24.15
Third,Male,No,Youth,None,Cheap,0,0,Southampton,22,8.05
Third,Male,No,Youth,Few,Cheap,2,0,Southampton,21,24.15
Third,Male,No,Teen,Few,Cheap,2,0,Southampton,17,8.05
Third,Male,No,Adult,Few,Cheap,1,0,Southampton,32,16.1
Third,Female,Yes,Youth,Few,Cheap,1,0,Southampton,26,16.1
Third,Male,Yes,Adult,Few,Cheap,1,0,Southampton,36.5,17.4
Third,Female,Yes,Adult,Few,Cheap,1,0,Southampton,36,17.4
Third,Male,Yes,Adult,None,Cheap,0,0,Southampton,30,9.5
Third,Male,No,Teen,None,Cheap,0,0,Southampton,16,9.5
Third,Male,Yes,Baby,Few,Cheap,1,2,Southampton,1,20.575
Third,Female,Yes,Baby,Few,Cheap,1,2,Southampton,0.1667,20.575
Third,Male,No,Youth,Few,Cheap,1,2,Southampton,26,20.575
Third,Female,Yes,Adult,Few,Cheap,1,2,Southampton,33,20.575
Third,Male,No,Youth,None,Cheap,0,0,Southampton,25,7.8958
Third,Male,No,Youth,None,Cheap,0,0,Southampton,25,7.8958
Third,Male,No,Youth,None,Cheap,0,0,Southampton,26,7.8958
Third,Male,No,Youth,None,Cheap,0,0,Southampton,22,7.25
Third,Male,No,Adult,None,Cheap,0,0,Southampton,36,7.25
Third,Female,Yes,Youth,None,Cheap,0,0,Queenstown,19,7.8792
Third,Male,No,Teen,None,Cheap,0,0,Southampton,17,7.8958
Third,Male,No,Adult,None,Cheap,0,0,Southampton,42,8.6625
Third,Male,No,Adult,None,Cheap,0,0,Southampton,43,7.8958
Third,Male,No,Teen,None,Cheap,0,0,Cherbourg,17,7.2292
Third,Male,No,Adult,None,Cheap,0,0,Queenstown,32,7.75
Third,Male,Yes,Youth,None,Cheap,0,0,Southampton,19,8.05
Third,Female,Yes,Adult,None,Cheap,0,0,Southampton,30,12.475
Third,Female,No,Youth,None,Cheap,0,0,Queenstown,24,7.75
Third,Female,Yes,Youth,None,Cheap,0,0,Southampton,23,8.05
Third,Male,No,Adult,None,Cheap,0,0,Cherbourg,33,7.8958
Third,Male,No,Adult,None,Cheap,0,0,Queenstown,65,7.75
Third,Male,Yes,Youth,None,Cheap,0,0,Southampton,24,7.55
Third,Male,No,Youth,Few,Cheap,1,0,Southampton,23,13.9
Third,Female,Yes,Youth,Few,Cheap,1,0,Southampton,22,13.9
