"PassengerClass","Sex","No of Siblings or Spouses on Board","No of Parents or Children on Board","Port of Embarkation","Age","Passenger Fare","Survived","id","outlier_flag","Distance Outlier"
"Second","Female",0,0,"Southampton",36.0,13.0,"Yes",334,"No Outlier","false"
"Second","Male",0,0,"Southampton",28.0,10.5,"No",335,"No Outlier","false"
"Second","Male",0,0,"Southampton",51.0,12.525,"No",336,"No Outlier","false"
"Second","Male",1,0,"Southampton",32.0,26.0,"Yes",337,"No Outlier","false"
"Second","Female",1,0,"Southampton",19.0,26.0,"Yes",338,"No Outlier","false"
"Second","Male",0,0,"Southampton",28.0,26.0,"No",339,"No Outlier","false"
"Second","Male",2,1,"Southampton",1.0,39.0,"Yes",340,"No Outlier","false"
"Second","Female",2,1,"Southampton",4.0,39.0,"Yes",341,"No Outlier","false"
"Second","Female",2,1,"Southampton",12.0,39.0,"Yes",342,"No Outlier","false"
"Second","Female",0,3,"Southampton",36.0,39.0,"Yes",343,"No Outlier","false"
"Second","Male",0,0,"Southampton",34.0,13.0,"Yes",344,"No Outlier","false"
"Second","Female",0,0,"Southampton",19.0,13.0,"Yes",345,"No Outlier","false"
"Second","Male",0,0,"Southampton",23.0,13.0,"No",346,"No Outlier","false"
"Second","Male",0,0,"Southampton",26.0,13.0,"No",347,"No Outlier","false"
"Second","Male",0,0,"Southampton",42.0,13.0,"No",348,"No Outlier","false"
"Second","Male",0,0,"Southampton",27.0,13.0,"No",349,"No Outlier","false"
"Second","Female",0,0,"Southampton",24.0,13.0,"Yes",350,"No Outlier","false"
"Second","Female",0,2,"Southampton",15.0,39.0,"Yes",351,"No Outlier","false"
"Second","Male",1,1,"Southampton",60.0,39.0,"No",352,"No Outlier","false"
"Second","Female",1,1,"Southampton",40.0,39.0,"Yes",353,"No Outlier","false"
"Second","Female",1,0,"Southampton",20.0,26.0,"Yes",354,"No Outlier","false"
"Second","Male",1,0,"Southampton",25.0,26.0,"No",355,"No Outlier","false"
"Second","Female",0,0,"Southampton",36.0,13.0,"Yes",356,"No Outlier","false"
"Second","Male",0,0,"Southampton",25.0,13.0,"No",357,"No Outlier","false"
"Second","Male",0,0,"Southampton",42.0,13.0,"No",358,"No Outlier","false"
"Second","Female",0,0,"Southampton",42.0,13.0,"Yes",359,"No Outlier","false"
"Second","Male",0,2,"Southampton",0.8333,29.0,"Yes",360,"No Outlier","false"
"Second","Male",1,1,"Southampton",26.0,29.0,"Yes",361,"No Outlier","false"
"Second","Female",1,1,"Southampton",22.0,29.0,"Yes",362,"No Outlier","false"
"Second","Female",0,0,"Southampton",35.0,21.0,"Yes",363,"No Outlier","false"
"Second","Male",0,0,"Southampton",39.0,0.0,"No",364,"No Outlier","false"
"Second","Male",0,0,"Southampton",19.0,13.0,"No",365,"No Outlier","false"
"Second","Female",1,0,"Southampton",44.0,26.0,"No",366,"No Outlier","false"
"Second","Male",1,0,"Southampton",54.0,26.0,"No",367,"No Outlier","false"
"Second","Male",0,0,"Southampton",52.0,13.5,"No",368,"No Outlier","false"
"Second","Male",1,0,"Southampton",37.0,26.0,"No",369,"No Outlier","false"
"Second","Female",1,0,"Southampton",29.0,26.0,"No",370,"No Outlier","false"
"Second","Female",1,1,"Southampton",25.0,30.0,"Yes",371,"No Outlier","false"
"Second","Female",0,2,"Southampton",45.0,30.0,"Yes",372,"No Outlier","false"
"Second","Male",1,0,"Southampton",29.0,26.0,"No",373,"No Outlier","false"
"Second","Female",1,0,"Southampton",28.0,26.0,"Yes",374,"No Outlier","false"
"Second","Male",0,0,"Southampton",29.0,10.5,"No",375,"No Outlier","false"
"Second","Male",0,0,"Southampton",28.0,13.0,"No",376,"No Outlier","false"
"Second","Male",0,0,"Southampton",24.0,10.5,"Yes",377,"No Outlier","false"
"Second","Female",0,2,"Southampton",8.0,26.25,"Yes",378,"No Outlier","false"
"Second","Male",1,1,"Southampton",31.0,26.25,"No",379,"No Outlier","false"
"Second","Female",1,1,"Southampton",31.0,26.25,"Yes",380,"No Outlier","false"
"Second","Female",0,0,"Southampton",22.0,10.5,"Yes",381,"No Outlier","false"
"Second","Female",0,0,"Southampton",30.0,13.0,"No",382,"No Outlier","false"
"Second","Female",0,0,"Southampton",31.0,21.0,"No",383,"No Outlier","false"
"Second","Male",0,0,"Southampton",21.0,11.5,"No",384,"No Outlier","false"
"Second","Male",0,0,"Southampton",38.0,0.0,"No",385,"No Outlier","false"
"Second","Male",1,1,"Southampton",8.0,36.75,"Yes",386,"No Outlier","false"
"Second","Male",0,0,"Southampton",18.0,73.5,"No",387,"No Outlier","false"
"Second","Female",0,2,"Southampton",48.0,36.75,"Yes",388,"No Outlier","false"
"Second","Female",0,0,"Southampton",28.0,13.0,"Yes",389,"No Outlier","false"
"Second","Male",0,0,"Southampton",32.0,13.0,"No",390,"No Outlier","false"
"Second","Male",0,0,"Southampton",17.0,73.5,"No",391,"No Outlier","false"
"Second","Male",1,0,"Cherbourg",29.0,27.7208,"No",392,"No Outlier","false"
"Second","Female",1,0,"Cherbourg",24.0,27.7208,"Yes",393,"No Outlier","false"
"Second","Male",0,0,"Southampton",25.0,31.5,"No",394,"No Outlier","false"
"Second","Male",0,0,"Southampton",18.0,73.5,"No",395,"No Outlier","false"
"Second","Female",0,1,"Southampton",18.0,23.0,"Yes",396,"No Outlier","false"
"Second","Female",0,1,"Southampton",34.0,23.0,"Yes",397,"No Outlier","false"
"Second","Male",0,0,"Southampton",54.0,26.0,"No",398,"No Outlier","false"
"Second","Male",0,2,"Southampton",8.0,32.5,"Yes",399,"No Outlier","false"
"Second","Male",1,1,"Southampton",42.0,32.5,"No",400,"No Outlier","false"
"Second","Female",1,1,"Southampton",34.0,32.5,"Yes",401,"No Outlier","false"
"Second","Female",1,0,"Cherbourg",27.0,13.8583,"Yes",402,"No Outlier","false"
"Second","Female",1,0,"Cherbourg",30.0,13.8583,"Yes",403,"No Outlier","false"
"Second","Male",0,0,"Southampton",23.0,13.0,"No",404,"No Outlier","false"
"Second","Male",0,0,"Southampton",21.0,13.0,"No",405,"No Outlier","false"
"Second","Male",0,0,"Southampton",18.0,13.0,"No",406,"No Outlier","false"
"Second","Male",1,0,"Southampton",40.0,26.0,"No",407,"No Outlier","false"
"Second","Female",1,0,"Southampton",29.0,26.0,"Yes",408,"No Outlier","false"
"Second","Male",0,0,"Southampton",18.0,10.5,"No",409,"No Outlier","false"
"Second","Male",0,0,"Southampton",36.0,13.0,"No",410,"No Outlier","false"
"Second","Male",0,0,"Southampton",41.0,0.0,"No",411,"No Outlier","false"
"Second","Female",0,0,"Southampton",38.0,13.0,"No",412,"No Outlier","false"
"Second","Male",0,0,"Southampton",35.0,26.0,"No",413,"No Outlier","false"
"Second","Male",1,0,"Southampton",38.0,21.0,"No",414,"No Outlier","false"
"Second","Male",1,0,"Southampton",34.0,21.0,"No",415,"No Outlier","false"
"Second","Female",0,0,"Southampton",34.0,13.0,"Yes",416,"No Outlier","false"
"Second","Male",0,0,"Southampton",16.0,26.0,"No",417,"No Outlier","false"
"Second","Male",0,0,"Southampton",26.0,10.5,"No",418,"No Outlier","false"
"Second","Male",0,0,"Southampton",47.0,10.5,"No",419,"No Outlier","false"
"Second","Male",1,0,"Southampton",21.0,11.5,"No",420,"No Outlier","false"
"Second","Male",1,0,"Southampton",21.0,11.5,"No",421,"No Outlier","false"
"Second","Male",0,0,"Southampton",24.0,13.5,"No",422,"No Outlier","false"
"Second","Male",0,0,"Southampton",24.0,13.0,"No",423,"No Outlier","false"
"Second","Male",0,0,"Southampton",34.0,13.0,"No",424,"No Outlier","false"
"Second","Male",0,0,"Southampton",30.0,13.0,"No",425,"No Outlier","false"
"Second","Male",0,0,"Southampton",52.0,13.0,"No",426,"No Outlier","false"
"Second","Male",0,0,"Southampton",30.0,13.0,"No",427,"No Outlier","false"
"Second","Male",1,1,"Southampton",0.6667,14.5,"Yes",428,"No Outlier","false"
"Second","Female",0,2,"Southampton",24.0,14.5,"Yes",429,"No Outlier","false"
"Second","Male",0,0,"Southampton",44.0,13.0,"No",430,"No Outlier","false"
"Second","Female",0,1,"Southampton",6.0,33.0,"Yes",431,"No Outlier","false"
"Second","Male",0,1,"Southampton",28.0,33.0,"No",432,"No Outlier","false"
"Second","Male",0,0,"Southampton",62.0,10.5,"Yes",433,"No Outlier","false"
"Second","Male",0,0,"Southampton",30.0,10.5,"No",434,"No Outlier","false"
"Second","Female",0,2,"Southampton",7.0,26.25,"Yes",435,"No Outlier","false"
"Second","Male",1,1,"Southampton",43.0,26.25,"No",436,"No Outlier","false"
"Second","Female",1,1,"Southampton",45.0,26.25,"Yes",437,"No Outlier","false"
"Second","Female",1,2,"Southampton",24.0,65.0,"Yes",438,"No Outlier","false"
"Second","Female",1,2,"Southampton",24.0,65.0,"Yes",439,"No Outlier","false"
"Second","Male",1,2,"Southampton",49.0,65.0,"No",440,"No Outlier","false"
"Second","Female",1,2,"Southampton",48.0,65.0,"Yes",441,"No Outlier","false"
"Second","Female",0,0,"Southampton",55.0,16.0,"Yes",442,"No Outlier","false"
"Second","Male",2,0,"Southampton",24.0,73.5,"No",443,"No Outlier","false"
"Second","Male",2,0,"Southampton",32.0,73.5,"No",444,"No Outlier","false"
"Second","Male",2,0,"Southampton",21.0,73.5,"No",445,"No Outlier","false"
"Second","Female",1,1,"Southampton",18.0,13.0,"No",446,"No Outlier","false"
"Second","Female",2,1,"Southampton",20.0,23.0,"Yes",447,"No Outlier","false"
"Second","Male",2,1,"Southampton",23.0,11.5,"No",448,"No Outlier","false"
"Second","Male",0,0,"Southampton",36.0,13.0,"No",449,"No Outlier","false"
"Second","Female",1,3,"Southampton",54.0,23.0,"Yes",450,"No Outlier","false"
"Second","Male",0,0,"Southampton",50.0,13.0,"No",451,"No Outlier","false"
"Second","Male",1,0,"Southampton",44.0,26.0,"No",452,"No Outlier","false"
"Second","Female",1,0,"Southampton",29.0,26.0,"Yes",453,"No Outlier","false"
"Second","Male",0,0,"Southampton",21.0,73.5,"No",454,"No Outlier","false"
"Second","Male",0,0,"Southampton",42.0,13.0,"Yes",455,"No Outlier","false"
"Second","Male",1,0,"Southampton",63.0,26.0,"No",456,"No Outlier","false"
"Second","Female",1,0,"Southampton",60.0,26.0,"No",457,"No Outlier","false"
"Second","Male",0,0,"Southampton",33.0,12.275,"No",458,"No Outlier","false"
"Second","Female",0,0,"Southampton",17.0,10.5,"Yes",459,"No Outlier","false"
"Second","Male",1,0,"Southampton",42.0,27.0,"No",460,"No Outlier","false"
"Second","Female",2,1,"Southampton",24.0,27.0,"Yes",461,"No Outlier","false"
"Second","Male",0,0,"Southampton",47.0,15.0,"No",462,"No Outlier","false"
"Second","Male",2,0,"Southampton",24.0,31.5,"No",463,"No Outlier","false"
"Second","Male",2,0,"Southampton",22.0,31.5,"No",464,"No Outlier","false"
"Second","Male",0,0,"Southampton",32.0,10.5,"No",465,"No Outlier","false"
"Second","Female",0,0,"Cherbourg",23.0,13.7917,"Yes",466,"No Outlier","false"
"Second","Male",1,0,"Southampton",34.0,26.0,"No",467,"No Outlier","false"
"Second","Female",1,0,"Southampton",24.0,26.0,"Yes",468,"No Outlier","false"
"Second","Female",0,0,"Southampton",22.0,21.0,"No",469,"No Outlier","false"
"Second","Female",0,0,"Queenstown",30.0,12.35,"Yes",470,"No Outlier","false"
"Second","Male",0,0,"Queenstown",35.0,12.35,"No",471,"No Outlier","false"
"Second","Female",0,0,"Southampton",45.0,13.5,"Yes",472,"No Outlier","false"
"Second","Male",0,0,"Queenstown",57.0,12.35,"No",473,"No Outlier","false"
"Second","Male",0,0,"Southampton",40.0,0.0,"No",474,"No Outlier","false"
"Second","Male",0,0,"Southampton",31.0,10.5,"No",475,"No Outlier","false"
"Second","Female",1,1,"Southampton",26.0,26.0,"No",476,"No Outlier","false"
"Second","Male",1,1,"Southampton",30.0,26.0,"No",477,"No Outlier","false"
"Second","Male",0,0,"Queenstown",35.0,10.7083,"No",478,"No Outlier","false"
"Second","Female",1,2,"Cherbourg",1.0,41.5792,"Yes",479,"No Outlier","false"
"Second","Female",1,2,"Cherbourg",3.0,41.5792,"Yes",480,"No Outlier","false"
"Second","Male",1,2,"Cherbourg",25.0,41.5792,"No",481,"No Outlier","false"
"Second","Female",1,2,"Cherbourg",22.0,41.5792,"Yes",482,"No Outlier","false"
"Second","Female",0,0,"Cherbourg",17.0,12.0,"Yes",483,"No Outlier","false"
"Second","Female",0,0,"Southampton",30.0,33.0,"Yes",484,"No Outlier","false"
"Second","Female",0,0,"Southampton",34.0,10.5,"Yes",485,"No Outlier","false"
"Second","Male",0,0,"Cherbourg",36.0,12.875,"No",486,"No Outlier","false"
"Second","Male",0,0,"Southampton",24.0,10.5,"No",487,"No Outlier","false"
"Second","Male",0,0,"Queenstown",61.0,12.35,"No",488,"No Outlier","false"
"Second","Male",1,0,"Southampton",50.0,26.0,"No",489,"No Outlier","false"
"Second","Female",1,0,"Southampton",42.0,26.0,"Yes",490,"No Outlier","false"
"Second","Female",0,0,"Southampton",57.0,10.5,"No",491,"No Outlier","false"
"Second","Male",0,0,"Cherbourg",30.0,15.0458,"No",492,"No Outlier","false"
"Second","Male",0,2,"Cherbourg",1.0,37.0042,"Yes",493,"No Outlier","false"
"Second","Male",1,1,"Cherbourg",31.0,37.0042,"No",494,"No Outlier","false"
"Second","Female",1,1,"Cherbourg",24.0,37.0042,"Yes",495,"No Outlier","false"
"Second","Male",0,0,"Cherbourg",30.0,15.5792,"No",496,"No Outlier","false"
"Second","Male",0,0,"Southampton",30.0,13.0,"No",497,"No Outlier","false"
"Second","Male",0,0,"Southampton",40.0,16.0,"No",498,"No Outlier","false"
"Second","Male",0,0,"Southampton",32.0,13.5,"No",499,"No Outlier","false"
"Second","Male",0,0,"Southampton",30.0,13.0,"No",500,"No Outlier","false"
"Second","Male",0,0,"Southampton",46.0,26.0,"No",501,"No Outlier","false"
"Second","Female",0,1,"Southampton",13.0,19.5,"Yes",502,"No Outlier","false"
"Second","Female",0,1,"Southampton",41.0,19.5,"Yes",503,"No Outlier","false"
"Second","Male",0,0,"Southampton",19.0,10.5,"Yes",504,"No Outlier","false"
"Second","Male",0,0,"Southampton",39.0,13.0,"No",505,"No Outlier","false"
"Second","Male",0,0,"Southampton",48.0,13.0,"No",506,"No Outlier","false"
"Second","Male",0,0,"Southampton",70.0,10.5,"No",507,"No Outlier","false"
"Second","Male",0,0,"Southampton",27.0,13.0,"No",508,"No Outlier","false"
"Second","Male",0,0,"Southampton",54.0,14.0,"No",509,"No Outlier","false"
"Second","Male",0,0,"Southampton",39.0,26.0,"No",510,"No Outlier","false"
"Second","Male",0,0,"Southampton",16.0,10.5,"No",511,"No Outlier","false"
"Second","Male",0,0,"Queenstown",62.0,9.6875,"No",512,"No Outlier","false"
"Second","Male",1,0,"Cherbourg",32.5,30.0708,"No",513,"No Outlier","false"
"Second","Female",1,0,"Cherbourg",14.0,30.0708,"Yes",514,"No Outlier","false"
"Second","Male",1,1,"Southampton",2.0,26.0,"Yes",515,"No Outlier","false"
"Second","Male",1,1,"Southampton",3.0,26.0,"Yes",516,"No Outlier","false"
"Second","Male",0,2,"Southampton",36.5,26.0,"No",517,"No Outlier","false"
"Second","Male",0,0,"Southampton",26.0,13.0,"No",518,"No Outlier","false"
"Second","Male",1,1,"Southampton",19.0,36.75,"No",519,"No Outlier","false"
"Second","Male",0,0,"Southampton",28.0,13.5,"No",520,"No Outlier","false"
"Second","Male",0,0,"Cherbourg",20.0,13.8625,"Yes",521,"No Outlier","false"
"Second","Female",0,0,"Southampton",29.0,10.5,"Yes",522,"No Outlier","false"
"Second","Male",0,0,"Southampton",39.0,13.0,"No",523,"No Outlier","false"
"Second","Male",0,0,"Southampton",22.0,10.5,"Yes",524,"No Outlier","false"
"Second","Male",0,0,"Cherbourg",28.0,13.8625,"Yes",525,"No Outlier","false"
"Second","Male",0,0,"Southampton",23.0,10.5,"No",526,"No Outlier","false"
"Second","Male",0,0,"Cherbourg",29.0,13.8583,"Yes",527,"No Outlier","false"
"Second","Male",0,0,"Southampton",28.0,10.5,"No",528,"No Outlier","false"
"Second","Male",0,0,"Southampton",37.0,0.0,"No",529,"No Outlier","false"
"Second","Female",0,1,"Southampton",50.0,26.0,"Yes",530,"No Outlier","false"
"Second","Male",0,0,"Southampton",19.0,10.5,"No",531,"No Outlier","false"
"Second","Male",0,0,"Cherbourg",30.0,15.05,"No",532,"No Outlier","false"
"Second","Male",0,0,"Southampton",41.0,13.0,"No",533,"No Outlier","false"
"Second","Female",0,1,"Southampton",21.0,21.0,"Yes",534,"No Outlier","false"
"Second","Female",0,0,"Southampton",19.0,26.0,"Yes",535,"No Outlier","false"
"Second","Male",0,1,"Southampton",43.0,21.0,"No",536,"No Outlier","false"
"Second","Female",0,0,"Southampton",32.0,13.0,"Yes",537,"No Outlier","false"
"Second","Male",0,0,"Southampton",34.0,13.0,"No",538,"No Outlier","false"
"Second","Male",0,0,"Cherbourg",30.0,12.7375,"Yes",539,"No Outlier","false"
"Second","Male",0,0,"Cherbourg",27.0,15.0333,"No",540,"No Outlier","false"
"Second","Female",1,1,"Southampton",2.0,26.0,"Yes",541,"No Outlier","false"
"Second","Female",1,1,"Southampton",8.0,26.0,"Yes",542,"No Outlier","false"
"Second","Female",0,2,"Southampton",33.0,26.0,"Yes",543,"No Outlier","false"
"Second","Male",0,0,"Southampton",36.0,10.5,"No",544,"No Outlier","false"
"Second","Male",1,0,"Southampton",34.0,21.0,"No",545,"No Outlier","false"
"Second","Female",3,0,"Southampton",30.0,21.0,"Yes",546,"No Outlier","false"
"Second","Female",0,0,"Southampton",28.0,13.0,"Yes",547,"No Outlier","false"
"Second","Male",0,0,"Cherbourg",23.0,15.0458,"No",548,"No Outlier","false"
"Second","Male",1,1,"Southampton",0.8333,18.75,"Yes",549,"No Outlier","false"
"Second","Male",1,1,"Southampton",3.0,18.75,"Yes",550,"No Outlier","false"
"Second","Female",2,3,"Southampton",24.0,18.75,"Yes",551,"No Outlier","false"
"Second","Female",0,0,"Southampton",50.0,10.5,"Yes",552,"No Outlier","false"
"Second","Male",0,0,"Southampton",19.0,10.5,"No",553,"No Outlier","false"
"Second","Female",0,0,"Southampton",21.0,10.5,"Yes",554,"No Outlier","false"
"Second","Male",0,0,"Southampton",26.0,13.0,"No",555,"No Outlier","false"
"Second","Male",0,0,"Southampton",25.0,13.0,"No",556,"No Outlier","false"
"Second","Male",0,0,"Southampton",27.0,26.0,"No",557,"No Outlier","false"
"Second","Female",0,1,"Southampton",25.0,26.0,"Yes",558,"No Outlier","false"
"Second","Female",0,2,"Southampton",18.0,13.0,"Yes",559,"No Outlier","false"
"Second","Female",0,0,"Southampton",20.0,36.75,"Yes",560,"No Outlier","false"
"Second","Female",0,0,"Southampton",30.0,13.0,"Yes",561,"No Outlier","false"
"Second","Male",0,0,"Southampton",59.0,13.5,"No",562,"No Outlier","false"
"Second","Female",0,0,"Queenstown",30.0,12.35,"Yes",563,"No Outlier","false"
"Second","Male",0,0,"Southampton",35.0,10.5,"No",564,"No Outlier","false"
"Second","Female",0,0,"Southampton",40.0,13.0,"Yes",565,"No Outlier","false"
"Second","Male",0,0,"Southampton",25.0,13.0,"No",566,"No Outlier","false"
"Second","Male",0,0,"Cherbourg",41.0,15.0458,"No",567,"No Outlier","false"
"Second","Male",0,0,"Southampton",25.0,10.5,"No",568,"No Outlier","false"
"Second","Male",0,0,"Southampton",18.5,13.0,"No",569,"No Outlier","false"
"Second","Male",0,0,"Southampton",14.0,65.0,"No",570,"No Outlier","false"
"Second","Female",0,0,"Southampton",50.0,10.5,"Yes",571,"No Outlier","false"
"Second","Male",0,0,"Southampton",23.0,13.0,"No",572,"No Outlier","false"
"Second","Female",0,0,"Southampton",28.0,12.65,"Yes",573,"No Outlier","false"
"Second","Female",0,0,"Southampton",27.0,10.5,"Yes",574,"No Outlier","false"
"Second","Male",1,0,"Southampton",29.0,21.0,"No",575,"No Outlier","false"
"Second","Female",1,0,"Southampton",27.0,21.0,"No",576,"No Outlier","false"
"Second","Male",0,0,"Southampton",40.0,13.0,"No",577,"No Outlier","false"
"Second","Female",0,0,"Southampton",31.0,21.0,"Yes",578,"No Outlier","false"
"Second","Male",1,0,"Southampton",30.0,21.0,"No",579,"No Outlier","false"
"Second","Male",1,0,"Southampton",23.0,10.5,"No",580,"No Outlier","false"
"Second","Female",0,0,"Southampton",31.0,21.0,"Yes",581,"No Outlier","false"
"Second","Male",0,0,"Southampton",39.0,0.0,"No",582,"No Outlier","false"
"Second","Female",0,0,"Southampton",12.0,15.75,"Yes",583,"No Outlier","false"
"Second","Female",0,0,"Southampton",40.0,15.75,"Yes",584,"No Outlier","false"
"Second","Female",0,0,"Southampton",32.5,13.0,"Yes",585,"No Outlier","false"
"Second","Male",1,0,"Southampton",27.0,26.0,"No",586,"No Outlier","false"
"Second","Female",1,0,"Southampton",29.0,26.0,"Yes",587,"No Outlier","false"
"Second","Male",1,1,"Southampton",2.0,23.0,"Yes",588,"No Outlier","false"
"Second","Female",1,1,"Southampton",4.0,23.0,"Yes",589,"No Outlier","false"
"Second","Female",0,2,"Southampton",29.0,23.0,"Yes",590,"No Outlier","false"
"Second","Female",1,2,"Southampton",0.9167,27.75,"Yes",591,"No Outlier","false"
"Second","Female",1,2,"Southampton",5.0,27.75,"Yes",592,"No Outlier","false"
"Second","Male",1,2,"Southampton",36.0,27.75,"No",593,"No Outlier","false"
"Second","Female",1,2,"Southampton",33.0,27.75,"Yes",594,"No Outlier","false"
"Second","Male",0,0,"Southampton",66.0,10.5,"No",595,"No Outlier","false"
"Second","Male",0,0,"Southampton",30.0,12.875,"No",596,"No Outlier","false"
"Second","Male",0,0,"Southampton",31.0,13.0,"Yes",597,"No Outlier","false"
"Second","Male",0,0,"Southampton",31.0,13.0,"Yes",598,"No Outlier","false"
"Second","Female",0,0,"Southampton",26.0,13.5,"Yes",599,"No Outlier","false"
"Second","Female",0,0,"Southampton",24.0,13.0,"No",600,"No Outlier","false"
"Third","Male",0,0,"Southampton",42.0,7.55,"No",601,"No Outlier","false"
"Third","Male",0,2,"Southampton",13.0,20.25,"No",602,"No Outlier","false"
"Third","Male",1,1,"Southampton",16.0,20.25,"No",603,"No Outlier","false"
"Third","Female",1,1,"Southampton",35.0,20.25,"Yes",604,"No Outlier","false"
"Third","Female",0,0,"Southampton",16.0,7.65,"Yes",605,"No Outlier","false"
"Third","Male",0,0,"Southampton",25.0,7.65,"Yes",606,"No Outlier","false"
"Third","Male",0,0,"Southampton",20.0,7.925,"Yes",607,"No Outlier","false"
"Third","Female",0,0,"Cherbourg",18.0,7.2292,"Yes",608,"No Outlier","false"
"Third","Male",0,0,"Southampton",30.0,7.25,"No",609,"No Outlier","false"
"Third","Male",0,0,"Southampton",26.0,8.05,"No",610,"No Outlier","false"
"Third","Female",1,0,"Southampton",40.0,9.475,"No",611,"No Outlier","false"
"Third","Male",0,1,"Southampton",0.8333,9.35,"Yes",612,"No Outlier","false"
"Third","Female",0,1,"Southampton",18.0,9.35,"Yes",613,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",26.0,18.7875,"Yes",614,"No Outlier","false"
"Third","Male",0,0,"Southampton",26.0,7.8875,"No",615,"Outlier","false"
"Third","Male",0,0,"Southampton",20.0,7.925,"No",616,"No Outlier","false"
"Third","Male",0,0,"Southampton",24.0,7.05,"No",617,"Outlier","false"
"Third","Male",0,0,"Southampton",25.0,7.05,"No",618,"Outlier","false"
"Third","Male",0,0,"Southampton",35.0,8.05,"No",619,"No Outlier","false"
"Third","Male",0,0,"Southampton",18.0,8.3,"No",620,"No Outlier","false"
"Third","Male",0,0,"Southampton",32.0,22.525,"No",621,"No Outlier","false"
"Third","Female",1,0,"Southampton",19.0,7.8542,"Yes",622,"No Outlier","false"
"Third","Male",4,2,"Southampton",4.0,31.275,"No",623,"No Outlier","false"
"Third","Female",4,2,"Southampton",6.0,31.275,"No",624,"No Outlier","false"
"Third","Female",4,2,"Southampton",2.0,31.275,"No",625,"No Outlier","false"
"Third","Female",4,2,"Southampton",17.0,7.925,"Yes",626,"No Outlier","false"
"Third","Female",4,2,"Southampton",38.0,7.775,"No",627,"No Outlier","false"
"Third","Female",4,2,"Southampton",9.0,31.275,"No",628,"No Outlier","false"
"Third","Female",4,2,"Southampton",11.0,31.275,"No",629,"No Outlier","false"
"Third","Male",1,5,"Southampton",39.0,31.275,"No",630,"No Outlier","false"
"Third","Male",0,0,"Southampton",27.0,7.7958,"Yes",631,"No Outlier","false"
"Third","Male",0,0,"Southampton",26.0,7.775,"No",632,"No Outlier","false"
"Third","Female",1,5,"Southampton",39.0,31.275,"No",633,"No Outlier","false"
"Third","Male",0,0,"Southampton",20.0,7.8542,"No",634,"No Outlier","false"
"Third","Male",0,0,"Southampton",26.0,7.8958,"No",635,"Outlier","false"
"Third","Male",1,0,"Southampton",25.0,17.8,"No",636,"No Outlier","false"
"Third","Female",1,0,"Southampton",18.0,17.8,"No",637,"No Outlier","false"
"Third","Male",0,0,"Southampton",24.0,7.775,"No",638,"No Outlier","false"
"Third","Male",0,0,"Southampton",35.0,7.05,"No",639,"No Outlier","false"
"Third","Male",4,2,"Southampton",5.0,31.3875,"No",640,"No Outlier","false"
"Third","Male",4,2,"Southampton",9.0,31.3875,"No",641,"No Outlier","false"
"Third","Male",4,2,"Southampton",3.0,31.3875,"Yes",642,"No Outlier","false"
"Third","Male",4,2,"Southampton",13.0,31.3875,"No",643,"No Outlier","false"
"Third","Female",4,2,"Southampton",5.0,31.3875,"Yes",644,"No Outlier","false"
"Third","Male",1,5,"Southampton",40.0,31.3875,"No",645,"No Outlier","false"
"Third","Male",0,0,"Southampton",23.0,7.7958,"Yes",646,"No Outlier","false"
"Third","Female",1,5,"Southampton",38.0,31.3875,"Yes",647,"No Outlier","false"
"Third","Female",0,0,"Cherbourg",45.0,7.225,"Yes",648,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",21.0,7.225,"No",649,"No Outlier","false"
"Third","Male",0,0,"Southampton",23.0,7.05,"No",650,"No Outlier","false"
"Third","Female",0,0,"Cherbourg",17.0,14.4583,"No",651,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",30.0,7.225,"No",652,"No Outlier","false"
"Third","Male",0,0,"Southampton",23.0,7.8542,"No",653,"No Outlier","false"
"Third","Female",0,0,"Cherbourg",13.0,7.2292,"Yes",654,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",20.0,7.225,"No",655,"No Outlier","false"
"Third","Male",1,0,"Southampton",32.0,15.85,"No",656,"No Outlier","false"
"Third","Female",3,0,"Southampton",33.0,15.85,"Yes",657,"No Outlier","false"
"Third","Female",2,1,"Cherbourg",0.75,19.2583,"Yes",658,"No Outlier","false"
"Third","Female",2,1,"Cherbourg",0.75,19.2583,"Yes",659,"No Outlier","false"
"Third","Female",2,1,"Cherbourg",5.0,19.2583,"Yes",660,"No Outlier","false"
"Third","Female",0,3,"Cherbourg",24.0,19.2583,"Yes",661,"No Outlier","false"
"Third","Female",0,0,"Southampton",18.0,8.05,"Yes",662,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",40.0,7.225,"No",663,"No Outlier","false"
"Third","Male",0,0,"Southampton",26.0,7.8958,"No",664,"Outlier","false"
"Third","Male",0,0,"Cherbourg",20.0,7.2292,"Yes",665,"No Outlier","false"
"Third","Female",0,1,"Cherbourg",18.0,14.4542,"No",666,"No Outlier","false"
"Third","Female",0,1,"Cherbourg",45.0,14.4542,"No",667,"No Outlier","false"
"Third","Female",0,0,"Queenstown",27.0,7.8792,"No",668,"No Outlier","false"
"Third","Male",0,0,"Southampton",22.0,8.05,"No",669,"No Outlier","false"
"Third","Male",0,0,"Southampton",19.0,8.05,"No",670,"No Outlier","false"
